Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
HDFCBANK.NS,2023-01-18,802.5,2023-01-25,845.7,12,498.62,5.17,Exit rule,7
AUBANK.NS,2023-01-24,642.5,2023-01-25,633.5,15,-154.14,-1.6,Exit rule,1
CANBK.NS,2022-12-27,61.73,2023-01-27,61.56,161,-47.22,-0.47,Exit rule,31
UNIONBANK.NS,2022-12-27,83.25,2023-01-30,74.2,120,-1104.89,-11.05,Exit rule,34
POONAWALLA.NS,2023-01-25,302.4,2023-01-30,289.0,33,-461.72,-4.62,Exit rule,5
TVSMOTOR.NS,2023-01-27,1040.0,2023-02-02,1018.35,9,-213.38,-2.28,Exit rule,6
MAZDOCK.NS,2023-02-01,399.0,2023-02-02,371.5,25,-706.76,-7.08,Exit rule,1
MGL.NS,2023-02-01,883.95,2023-02-03,862.0,11,-260.66,-2.68,Exit rule,2
SUNPHARMA.NS,2023-02-06,1020.0,2023-02-08,1004.8,9,-155.02,-1.69,Exit rule,2
ZYDUSLIFE.NS,2023-02-06,452.0,2023-02-08,480.15,22,598.79,6.02,Exit rule,2
MANAPPURAM.NS,2023-02-08,117.1,2023-02-09,114.55,85,-236.44,-2.37,Exit rule,1
CUMMINSIND.NS,2023-02-01,1453.0,2023-02-13,1608.85,6,916.73,10.5,Exit rule,12
IDFCFIRSTB.NS,2023-02-03,60.0,2023-02-13,58.1,166,-335.0,-3.36,Exit rule,10
INDIANB.NS,2023-01-31,297.0,2023-02-14,283.45,33,-466.3,-4.75,Exit rule,14
BALKRISIND.NS,2023-01-31,2179.95,2023-02-14,2053.0,4,-524.73,-6.01,Exit rule,14
RECLTD.NS,2023-02-01,122.9,2023-02-14,114.3,81,-715.81,-7.18,Exit rule,13
APLAPOLLO.NS,2023-01-05,1135.0,2023-02-15,1221.85,8,675.95,7.44,Exit rule,41
ULTRACEMCO.NS,2023-02-09,7250.0,2023-02-16,7187.6499,1,-76.79,-1.06,Exit rule,7
NCC.NS,2023-02-03,92.45,2023-02-17,92.25,108,-41.55,-0.42,Exit rule,14
PFC.NS,2023-02-15,114.84,2023-02-17,119.68,86,396.07,4.01,Exit rule,2
PNBHOUSING.NS,2023-01-25,462.0338,2023-02-20,491.7677,21,604.38,6.22,Exit rule,26
LT.NS,2023-02-14,2215.0,2023-02-20,2233.7,4,57.01,0.64,Exit rule,6
ONGC.NS,2023-02-17,155.5,2023-02-20,157.2,64,88.79,0.89,Exit rule,3
NMDC.NS,2023-02-17,40.5667,2023-02-21,39.8833,246,-187.89,-1.88,Exit rule,4
SOLARINDS.NS,2023-02-20,4044.75,2023-02-21,3921.05,2,-263.33,-3.25,Exit rule,1
GAIL.NS,2023-02-20,96.4,2023-02-22,94.95,103,-169.06,-1.7,Exit rule,2
GODREJCP.NS,2023-03-01,923.35,2023-03-02,913.0,10,-121.86,-1.32,Exit rule,1
DALBHARAT.NS,2023-03-02,1875.7,2023-03-03,1864.35,5,-75.45,-0.8,Exit rule,1
MARUTI.NS,2023-03-02,8771.0,2023-03-03,8592.0498,1,-196.31,-2.24,Exit rule,1
NTPC.NS,2023-02-22,172.95,2023-03-08,175.7,57,136.88,1.39,Exit rule,14
GODREJCP.NS,2023-03-06,926.0,2023-03-08,911.0,10,-168.37,-1.82,Exit rule,2
PHOENIXLTD.NS,2023-03-01,688.0,2023-03-09,667.5,14,-305.98,-3.17,Exit rule,8
RBLBANK.NS,2023-03-06,166.4,2023-03-10,157.9,60,-529.46,-5.3,Exit rule,4
SBIN.NS,2023-03-06,564.9,2023-03-13,547.0,17,-323.2,-3.36,Exit rule,7
NCC.NS,2023-03-08,93.4,2023-03-13,100.0,106,679.1,6.85,Exit rule,5
M&MFIN.NS,2023-03-08,254.95,2023-03-13,245.05,39,-405.6,-4.08,Exit rule,5
HCLTECH.NS,2023-03-03,1115.0,2023-03-14,1098.55,8,-149.31,-1.67,Exit rule,11
CHOLAFIN.NS,2023-03-08,769.2,2023-03-14,738.95,12,-381.1,-4.12,Exit rule,6
INDUSINDBK.NS,2023-03-09,1174.25,2023-03-14,1060.1,8,-931.07,-9.9,Exit rule,5
GODREJCP.NS,2023-03-13,914.0,2023-03-14,904.95,10,-108.69,-1.19,Exit rule,1
JINDALSTEL.NS,2023-03-02,567.0,2023-03-15,575.5,17,125.08,1.3,Exit rule,13
INDIANB.NS,2023-03-06,294.5,2023-03-15,264.9,33,-995.26,-10.23,Exit rule,9
POLYCAB.NS,2023-03-16,2930.0,2023-03-17,2900.0,3,-107.49,-1.22,Exit rule,1
SUNDRMFAST.NS,2023-03-17,985.0,2023-03-20,976.0,10,-109.61,-1.11,Exit rule,3
APLAPOLLO.NS,2023-03-20,1268.0,2023-03-23,1192.2,7,-547.82,-6.17,Exit rule,3
CREDITACC.NS,2023-03-22,949.0,2023-03-27,912.0,10,-388.61,-4.09,Exit rule,5
LT.NS,2023-03-16,2184.8999,2023-03-28,2167.75,4,-86.01,-0.98,Exit rule,12
KALYANKJIL.NS,2023-03-20,120.95,2023-03-29,108.0,82,-1080.67,-10.89,Exit rule,9
GODREJCP.NS,2023-03-17,934.0,2023-03-31,966.95,10,310.49,3.32,Exit rule,14
BANKINDIA.NS,2023-03-31,76.9,2023-04-03,75.0,129,-264.7,-2.67,Exit rule,3
NHPC.NS,2023-03-31,41.85,2023-04-03,40.2,238,-412.23,-4.13,Exit rule,3
KPITTECH.NS,2023-03-16,839.7,2023-04-05,770.65,11,-777.26,-8.41,Exit rule,20
GLENMARK.NS,2023-03-20,441.0,2023-04-05,477.0,22,771.8,7.95,Exit rule,16
BDL.NS,2023-03-31,492.5,2023-04-05,489.5,11,-43.8,-0.81,Exit rule,5
HDFCBANK.NS,2023-04-03,803.775,2023-04-06,824.275,12,226.46,2.35,Exit rule,3
PNBHOUSING.NS,2023-04-05,447.05,2023-04-12,443.75,10,-41.91,-0.94,Exit rule,7
EXIDEIND.NS,2023-04-05,180.0,2023-04-13,185.3,55,271.41,2.74,Exit rule,8
COALINDIA.NS,2023-04-05,220.3,2023-04-18,229.6,45,398.25,4.01,Exit rule,13
HAL.NS,2023-04-03,1380.0,2023-04-19,1415.025,7,225.61,2.33,Exit rule,16
ABCAPITAL.NS,2023-03-31,153.25,2023-04-20,161.2,65,496.31,4.98,Exit rule,20
INDHOTEL.NS,2023-03-31,320.5,2023-04-20,330.55,31,291.37,2.93,Exit rule,20
TRENT.NS,2023-03-31,1336.0,2023-04-24,1393.75,7,385.14,4.11,Exit rule,24
MGL.NS,2023-04-06,968.0,2023-04-27,1013.0,10,430.19,4.44,Exit rule,21
KPITTECH.NS,2023-04-27,909.0,2023-04-28,932.0,10,211.59,2.33,Exit rule,1
SIEMENS.NS,2023-04-26,1959.375,2023-05-04,2079.7393,5,581.63,5.93,Exit rule,8
ABB.NS,2023-04-26,3345.0,2023-05-05,3653.0,2,602.0,8.99,Exit rule,9
IIFL.NS,2023-04-27,475.0,2023-05-10,451.95,21,-503.52,-5.04,Exit rule,13
THERMAX.NS,2023-05-02,2298.1001,2023-05-11,2380.0,4,308.89,3.36,Exit rule,9
ULTRACEMCO.NS,2023-05-02,7545.5,2023-05-12,7839.9502,1,279.06,3.69,Exit rule,10
POLICYBZR.NS,2023-05-02,601.9,2023-05-18,632.0,16,461.86,4.79,Exit rule,16
HDFCBANK.NS,2023-05-09,824.95,2023-05-18,824.0,12,-31.19,-0.31,Exit rule,9
TORNTPOWER.NS,2023-03-29,509.9,2023-05-22,527.15,19,308.05,3.18,Exit rule,54
IIFL.NS,2023-05-18,467.0,2023-05-22,454.35,21,-285.0,-2.9,Exit rule,4
OIL.NS,2023-02-08,150.7667,2023-05-30,171.1333,66,1322.95,13.28,Exit rule,111
