Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
RELINFRA.NS,2024-11-28,278.0,2024-12-06,303.3,35,865.15,8.88,Exit rule,8
SONACOMS.NS,2024-12-05,692.7,2024-12-06,678.4,14,-219.4,-2.26,Exit rule,1
STAR.NS,2024-11-28,1536.0,2024-12-09,716.65,6,-4929.62,-53.44,Exit rule,11
HDFCAMC.NS,2024-12-05,2197.5,2024-12-10,2237.8501,4,143.66,1.63,Exit rule,5
SBIN.NS,2024-11-25,827.0,2024-12-11,867.5,12,465.67,4.69,Exit rule,16
IFCI.NS,2024-12-20,64.18,2024-12-23,62.6,155,-264.55,-2.66,Exit rule,3
RADICO.NS,2024-11-26,2356.05,2024-12-26,2540.7,4,719.01,7.62,Exit rule,30
GILLETTE.NS,2024-12-26,9590.0498,2024-12-27,9372.0,1,-237.01,-2.47,Exit rule,1
INDIACEM.NS,2024-12-24,365.25,2024-12-31,380.0,27,378.13,3.83,Exit rule,7
TATAINVEST.NS,2024-12-26,688.4,2024-12-31,677.8,14,-167.53,-1.74,Exit rule,5
AJANTPHARM.NS,2024-12-30,3020.0,2025-01-01,2935.0,3,-272.86,-3.01,Exit rule,2
ASTRAZEN.NS,2024-12-31,7200.7002,2025-01-01,7225.0,1,9.87,0.14,Exit rule,1
LAURUSLABS.NS,2024-12-30,591.0,2025-01-02,617.5,16,404.66,4.28,Exit rule,3
KEI.NS,2024-12-27,4320.9502,2025-01-07,4225.0,2,-208.99,-2.42,Exit rule,11
MOTILALOFS.NS,2024-12-31,962.0,2025-01-07,927.0,10,-368.89,-3.83,Exit rule,7
LUXIND.NS,2025-01-01,2011.0,2025-01-07,1894.0,4,-483.62,-6.01,Exit rule,6
KALYANKJIL.NS,2025-01-01,760.0,2025-01-08,724.45,13,-481.45,-4.87,Exit rule,7
THYROCARE.NS,2025-01-07,338.6167,2025-01-09,312.9833,29,-762.26,-7.75,Exit rule,2
POLICYBZR.NS,2024-12-31,2045.5,2025-01-10,1918.05,4,-525.65,-6.42,Exit rule,10
IBREALEST.NS,2025-01-08,154.4,2025-01-10,137.0,64,-1132.25,-11.45,Stop,2
PHOENIXLTD.NS,2025-01-09,1673.8,2025-01-10,1654.0,5,-115.64,-1.38,Exit rule,1
ORIENTCEM.NS,2024-12-26,343.1,2025-01-13,335.05,29,-253.12,-2.54,Exit rule,18
IREDA.NS,2024-12-31,215.75,2025-01-13,200.47,46,-722.03,-7.27,Exit rule,13
KNRCON.NS,2024-12-31,338.0,2025-01-13,319.0,29,-570.05,-5.81,Exit rule,13
CENTURYPLY.NS,2025-01-02,789.7,2025-01-13,782.3,12,-107.66,-1.13,Exit rule,11
SUVEN.NS,2025-01-09,138.91,2025-01-13,153.0,71,979.66,9.92,Exit rule,4
FORTIS.NS,2024-12-31,706.0,2025-01-14,669.45,14,-530.96,-5.37,Exit rule,14
JISLJALEQS.NS,2025-01-08,75.1,2025-01-14,71.59,133,-486.34,-4.86,Exit rule,6
BDL.NS,2025-01-10,1191.0,2025-01-14,1117.45,8,-606.87,-6.36,Exit rule,4
SUDARSCHEM.NS,2025-01-10,1105.1,2025-01-14,1083.55,9,-213.65,-2.15,Exit rule,4
COFORGE.NS,2025-01-13,1864.7,2025-01-14,1750.8,5,-587.58,-6.3,Exit rule,1
PERSISTENT.NS,2025-01-13,6289.25,2025-01-14,6047.5,1,-254.09,-4.04,Exit rule,1
WIPRO.NS,2025-01-13,298.95,2025-01-14,291.8,33,-255.45,-2.59,Exit rule,1
TECHM.NS,2025-01-13,1698.05,2025-01-14,1669.9,5,-157.59,-1.85,Exit rule,1
TCS.NS,2025-01-13,4245.0,2025-01-17,4159.8999,2,-187.01,-2.2,Exit rule,4
PERSISTENT.NS,2025-01-16,6155.2002,2025-01-17,6095.0,1,-72.45,-1.18,Exit rule,1
360ONE.NS,2025-01-16,1172.1,2025-01-23,1130.0,8,-355.22,-3.78,Exit rule,7
LEMONTREE.NS,2025-01-21,147.0,2025-01-23,138.65,67,-578.59,-5.87,Exit rule,2
METROBRAND.NS,2025-01-24,1238.0,2025-01-27,1237.0,8,-27.8,-0.28,Exit rule,3
PGHL.NS,2025-01-15,5351.0,2025-01-28,5252.1001,1,-109.5,-2.04,Exit rule,13
KEI.NS,2025-01-24,4478.25,2025-01-28,3991.0,2,-991.44,-11.06,Exit rule,4
SUNPHARMA.NS,2025-01-24,1829.0,2025-01-28,1779.8,5,-264.04,-2.88,Exit rule,4
PERSISTENT.NS,2025-01-24,6287.7002,2025-01-28,6000.0,1,-299.99,-4.77,Exit rule,4
FSL.NS,2025-01-27,359.2,2025-01-28,353.3,27,-178.54,-1.84,Exit rule,1
BSE.NS,2025-01-15,1850.0,2025-01-29,1716.6666,5,-684.5,-7.39,Exit rule,14
