Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
RECLTD.NS,2023-09-28,284.2,2023-10-27,267.0,35,-621.29,-6.24,Exit rule,29
THERMAX.NS,2023-09-29,3093.0,2023-10-30,2787.0,3,-935.64,-10.07,Exit rule,31
ESCORTS.NS,2023-04-20,2010.0,2023-11-02,3078.8999,4,4255.24,52.87,Exit rule,196
TATAELXSI.NS,2023-08-29,7389.0,2024-01-19,8409.0,1,1004.2,13.58,Exit rule,143
DLF.NS,2023-11-01,565.0,2024-01-24,739.95,17,2951.97,30.7,Exit rule,84
TATACOMM.NS,2023-11-03,1714.95,2024-02-06,1683.15,5,-175.99,-2.05,Exit rule,95
ENDURANCE.NS,2023-11-07,1733.95,2024-02-12,1845.55,5,540.1,6.22,Exit rule,97
APOLLOTYRE.NS,2024-01-19,503.95,2024-02-12,518.0,19,247.53,2.58,Exit rule,24
RECLTD.NS,2023-11-03,304.0,2024-02-13,449.55,32,4633.49,47.58,Exit rule,102
BDL.NS,2023-11-08,527.5,2024-02-14,787.05,18,4648.24,48.91,Exit rule,98
BSOFT.NS,2023-10-11,543.0,2024-02-29,764.15,14,3077.8,40.45,Exit rule,141
APOLLOHOSP.NS,2023-11-06,5141.0498,2024-03-01,6102.0,1,949.71,18.45,Exit rule,116
INOXWIND.NS,2024-02-06,135.25,2024-03-07,118.75,73,-1223.04,-12.38,Exit rule,30
GRANULES.NS,2023-11-06,351.85,2024-03-13,429.0,28,2138.34,21.68,Exit rule,128
RELIANCE.NS,2023-11-07,1167.025,2024-03-18,1420.0,8,2003.1,21.43,Exit rule,132
GODREJCP.NS,2024-02-02,1257.0,2024-04-05,1180.6,7,-551.86,-6.27,Exit rule,63
JKCEMENT.NS,2024-04-03,4350.0,2024-04-23,4114.8501,2,-487.23,-5.59,Exit rule,20
CYIENT.NS,2024-04-05,2187.8,2024-04-23,1949.45,4,-969.95,-11.07,Exit rule,18
ANGELONE.NS,2024-03-28,304.0,2024-05-07,266.0,32,-1234.24,-12.67,Exit rule,40
ADANIPORTS.NS,2024-04-02,1397.8,2024-05-09,1279.0,7,-850.34,-8.68,Exit rule,37
DLF.NS,2024-04-02,948.25,2024-05-09,862.0,10,-880.6,-9.28,Exit rule,37
LICHSGFIN.NS,2024-04-02,638.0,2024-05-10,623.95,15,-229.68,-2.4,Exit rule,38
ONGC.NS,2024-05-06,288.7,2024-05-10,267.0,34,-756.69,-7.7,Exit rule,4
AMBER.NS,2024-04-03,3791.3501,2024-05-29,3558.95,2,-479.5,-6.32,Exit rule,56
TECHM.NS,2024-04-29,1290.0,2024-05-31,1245.95,7,-326.1,-3.61,Exit rule,32
PNBHOUSING.NS,2024-04-02,745.2,2024-06-03,749.95,13,42.31,0.44,Exit rule,62
PERSISTENT.NS,2024-05-28,3750.0,2024-06-03,3510.5,2,-493.52,-6.57,Exit rule,6
ADANIENT.NS,2024-05-15,3046.75,2024-06-05,3030.0,3,-68.48,-0.75,Exit rule,21
KEC.NS,2024-05-21,793.6,2024-06-05,730.0,12,-781.48,-8.2,Exit rule,15
POLYCAB.NS,2024-02-20,4776.9502,2024-07-09,6577.4502,2,3578.29,37.42,Exit rule,140
BAJAJ-AUTO.NS,2024-03-11,9023.4502,2024-07-25,9260.0,1,218.27,2.42,Exit rule,136
BSOFT.NS,2024-06-10,688.0,2024-08-01,675.5,14,-194.09,-2.01,Exit rule,52
OFSS.NS,2024-06-07,8200.0,2024-08-06,10144.7998,1,1926.46,23.47,Exit rule,60
TRENT.NS,2024-08-01,5894.0,2024-08-07,5289.0,1,-616.18,-10.44,Exit rule,6
LTTS.NS,2024-06-10,4775.0,2024-08-14,4859.0,2,148.73,1.56,Exit rule,65
KEC.NS,2024-06-12,818.0,2024-08-16,815.0,12,-55.6,-0.57,Exit rule,65
ASHOKLEY.NS,2024-07-29,124.5,2024-09-10,122.325,80,-193.75,-1.94,Exit rule,43
NATCOPHARM.NS,2024-06-10,1116.0,2024-09-25,1415.9,8,2378.94,26.62,Exit rule,107
INDIGO.NS,2024-06-11,4400.0,2024-10-07,4605.0,2,391.99,4.45,Exit rule,118
MPHASIS.NS,2024-08-20,2986.45,2024-10-07,2899.0,3,-280.01,-3.12,Exit rule,48
ACC.NS,2024-09-10,2458.7,2024-10-08,2340.0,4,-493.99,-5.02,Exit rule,28
SONACOMS.NS,2024-09-06,737.85,2024-10-11,675.0,13,-835.42,-8.7,Exit rule,35
TATASTEEL.NS,2024-09-25,161.5,2024-10-16,155.19,61,-404.23,-4.1,Exit rule,21
INFY.NS,2024-08-28,1906.9,2024-10-22,1858.2,5,-262.33,-2.75,Exit rule,55
HAL.NS,2024-10-17,4671.0,2024-10-24,4234.25,2,-891.31,-9.53,Exit rule,7
GLENMARK.NS,2024-10-10,1789.7,2024-10-28,1663.8,5,-646.77,-7.22,Exit rule,18
GRASIM.NS,2024-08-23,2771.3999,2024-11-05,2590.6001,3,-558.49,-6.71,Exit rule,74
IPCALAB.NS,2024-07-10,1228.25,2024-11-12,1539.95,8,2471.45,25.13,Exit rule,125
CDSL.NS,2024-10-15,1599.0,2024-11-14,1445.0,6,-942.26,-9.81,Exit rule,30
IRFC.NS,2024-10-31,155.4,2024-11-19,140.3,64,-985.32,-9.9,Exit rule,19
JSWENERGY.NS,2024-11-12,739.95,2024-11-27,659.8,13,-1060.15,-11.01,Exit rule,15
COLPAL.NS,2024-11-27,2960.0,2024-12-18,2768.0,3,-593.18,-6.67,Exit rule,21
HAL.NS,2024-11-28,4500.0,2024-12-20,4385.0,2,-247.77,-2.75,Exit rule,22
BEL.NS,2024-11-07,301.0,2024-12-23,294.0,33,-250.63,-2.52,Exit rule,46
